trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,polygon_2.started,mouse_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,,,,,,,,,,,,,,,,3.575789452,0,0.005555556,1.889164036,0.844086592,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.592791557,0.001851852,0.006481481,2.709182725,0.716817744,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.609790802,0.002777778,0.007407407,2.655894882,1.021078173,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.626788855,0.002777778,0.008333333,2.526591611,0.41254237,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.642791986,0.003703704,0.008333333,2.611859516,0.384145797,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.658835649,0.00462963,0.009259259,2.958304548,0.45213778,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.675905228,0.006481481,0.012037037,2.632160018,0.747829495,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.692694426,0.009259259,0.012037037,2.935491453,0.734362568,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.709690332,0.011111111,0.012037037,3.034622242,0.646295872,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.725708485,0.011111111,0.012037037,3.131919148,0.88299651,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.742690325,0.011111111,0.011111111,3.580541841,1.129418629,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.759720564,0.012962963,0.010185185,3.515319003,0.860927435,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.776292324,0.012962963,0.010185185,3.8617305,0.628720184,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.793291569,0.013888889,0.009259259,3.782034366,0.63038588,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.809292078,0.015740741,0.008333333,4.363220294,0.651660023,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.826292515,0.016666667,0.008333333,4.489173756,0.906161612,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.843291759,0.017592593,0.008333333,4.259922268,1.129762404,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.859326601,0.019444444,0.008333333,4.42219866,1.17540635,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.875851631,0.024074074,0.010185185,4.145239265,1.125118118,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.892852545,0.027777778,0.012037037,3.931262039,1.316859742,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.909852982,0.034259259,0.013888889,4.454706284,1.135098772,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.925852776,0.039814815,0.014814815,5.176473795,0.998814789,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.942857504,0.042592593,0.014814815,5.011896265,1.216682406,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.959858418,0.04537037,0.014814815,5.085952683,0.661954176,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.976418734,0.048148148,0.014814815,5.820876011,0.504854633,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.992420435,0.05,0.014814815,5.722617591,0.683840892,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.009421587,0.052777778,0.014814815,5.716411914,0.728298277,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.025420666,0.056481481,0.014814815,5.538184005,0.799753851,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.043024778,0.061111111,0.015740741,5.576459789,1.027653255,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.060039043,0.063888889,0.016666667,5.477365869,1.05362985,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.075553656,0.071296296,0.019444444,5.985403319,0.961320476,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,4.092554092,0.076851852,0.02037037,5.985403319,1.130589578,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
