thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.254406452,-0.001666667,-0.003333333,3.209136346,1.070965494,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.260930777,-0.001666667,-0.003333333,3.947438672,0.652406051,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.27045393,-0.001666667,-0.003333333,4.168655023,0.786943144,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.28095603,-0.001666667,-0.003333333,3.984676469,1.525947065,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.291459322,-0.001666667,-0.003333333,4.189369344,1.578150487,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.299457788,-0.001666667,-0.003333333,4.631176448,1.525005371,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.307202339,-0.001666667,-0.003333333,4.565765584,1.979919933,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.315746307,-0.001666667,-0.003333333,5.084501083,1.76549703,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.327279329,-0.001666667,-0.003333333,4.814400502,1.980681792,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.337517738,-0.001666667,-0.003333333,4.873323556,1.634022177,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
