trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,polygon.stopped,mouse.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,3.286902904510498,0.0274949083503055,-0.019348268839103868,-0.32432918147780626,-2.946379657061351,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2999420166015625,0.026476578411405296,-0.018329938900203666,-0.12029548860658898,-3.0160276861889015,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.304626226425171,0.026476578411405296,-0.017311608961303463,-0.2508395702594788,-2.911983928667744,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.3172662258148193,0.026476578411405296,-0.017311608961303463,-0.7253954619738369,-2.381913201257011,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.321726083755493,0.026476578411405296,-0.017311608961303463,-0.6305003432231255,-2.3870915867082974,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.326186180114746,0.026476578411405296,-0.017311608961303463,-1.0187996521865577,-2.6921131769678794,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.3385372161865234,0.026476578411405296,-0.017311608961303463,-1.2405405916087398,-2.31916651941415,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.3429951667785645,0.026476578411405296,-0.017311608961303463,-1.8616023619776123,-2.463313811286473,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.35575008392334,0.026476578411405296,-0.017311608961303463,-1.930690864401169,-2.2473125676060546,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.3596410751342773,0.026476578411405296,-0.017311608961303463,-2.20087996368673,-2.702534990782759,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.373368978500366,0.026476578411405296,-0.017311608961303463,-2.845616349547455,-2.4126889524379984,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.377419948577881,0.026476578411405296,-0.017311608961303463,-2.9245867607338605,-2.51623563435043,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.390484094619751,0.026476578411405296,-0.018329938900203666,-3.116226609279618,-2.62071456569008,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.3954720497131348,0.026476578411405296,-0.018329938900203666,-3.092378656810242,-2.568673513546064,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.407741069793701,0.026476578411405296,-0.018329938900203666,-2.7473111132026866,-2.514823885297307,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4125401973724365,0.026476578411405296,-0.018329938900203666,-2.9750007489887635,-2.3471685078490196,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4249682426452637,0.026476578411405296,-0.019348268839103868,-2.93615061046527,-2.659904836209184,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4296159744262695,0.026476578411405296,-0.019348268839103868,-2.695276696956312,-2.9393923465227045,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.434286117553711,0.026476578411405296,-0.019348268839103868,-2.3982615842823014,-2.6044496188795474,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.446336030960083,0.026476578411405296,-0.019348268839103868,-2.983792803067213,-2.4309091575001927,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4509100914001465,0.026476578411405296,-0.019348268839103868,-3.157553737336065,-2.7894928481317507,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.463865041732788,0.026476578411405296,-0.019348268839103868,-3.0404715878920694,-2.7936142447610672,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4684410095214844,0.026476578411405296,-0.019348268839103868,-2.9827552379450486,-2.9025576815650562,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4809529781341553,0.026476578411405296,-0.019348268839103868,-2.569506601051847,-3.2875834856102304,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4850332736968994,0.026476578411405296,-0.019348268839103868,-2.5031903514233154,-2.9859658593642036,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.4981470108032227,0.026476578411405296,-0.020366598778004074,-1.928275861498053,-2.77664264718228,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.502403974533081,0.026476578411405296,-0.020366598778004074,-1.9975264481784463,-2.5542432064314218,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.515349864959717,0.026476578411405296,-0.02240325865580448,-1.9162143597783432,-2.9215226597746993,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.5196709632873535,0.026476578411405296,-0.02240325865580448,-1.9889722594936023,-3.0559900780259746,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.5324509143829346,0.025458248472505093,-0.024439918533604887,-1.8426919456554525,-2.811645651022666,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
